Artist,Song Name,Lyrics,Mood
John Legend,All of Me,"""What would I do without your smart mouth?
Drawing me in, and you kicking me out
You've got my head spinning, no kidding, I can't pin you down
What's going on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me, but I'll be alright
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing in my head for you
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you
I give you all of me
And you give me all of you, oh-oh""",Sad
Lewis Capaldi,Before you go,"I fell by the wayside, like everyone else
I hate you, I hate you, I hate you
But I was just kidding myself
Our every moment, I start to replace
'Cause now that they're gone
All I hear are the words that I needed to say
When you hurt under the surface
Like troubled water running cold
Well, time can heal, but this won't
So, before you go
Was there something I could've said
To make your heart beat better?
If only I'd have known you had a storm to weather
So, before you go
Was there something I could've said
To make it all stop hurting?
It kills me how your mind can make you feel so worthless
So, before you go
Was never the right time, whenever you called
Went little, by little, by little until there was nothing at all
Our every moment, I start to replay
But all I can think about is seeing that look on your face
When you hurt under the surface
Like troubled water running cold
Well, time can heal, but this won't
So, before you go
Was there something I could've said
To make your heart beat better?
If only I'd have known you had a storm to weather
So, before you go
Was there something I could've said
To make it all stop hurting?
It kills me how your mind can make you feel so worthless
So, before you go
Would we be better off by now
If I'd let my walls come down?
Maybe, I guess we'll never know
You know, you know
Before you go
Was there something I could've said
To make your heart beat better?
If only I'd have known you had a storm to weather
So, before you go
Was there something I could've said
To make it all stop hurting?
It kills me how your mind can make you feel so worthless
So, before you go",Sad
Sia,Breathe Me,"Help, I have done it again
I have been here many times before
Hurt myself again today
And, the worst part is there's no-one else to blame
Be my friend, hold me
Wrap me up, enfold me
I am small and needy
Warm me up and breathe me
Ouch I have lost myself again
Lost myself and I am nowhere to be found
Yeah I think that I might break
Lost myself again and I feel unsafe
Be my friend, hold me
Wrap me up, enfold me
I am small and needy
Warm me up and breathe me
Be my friend, hold me
Wrap me up, enfold me
I am small and needy
Warm me up and breathe me",Sad
Adele,"Someone Like You
","I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things, I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me, "" I beg
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
""Sometimes it lasts in love, but sometimes it hurts instead""
You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me, "" I begged
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?
Never mind, I'll find someone like you
I wish nothing but the best for you
""Don't forget me, "" I beg
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me, "" I begged
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
""Sometimes it lasts in love, but sometimes it hurts instead""",Sad
Passenger,Simple Song,"Here's a simple song
Won't stop the rain from coming down
Or your heart from breaking
Here's a simple song
It's never gonna turn this day around
Stood the earth from shaking
It's just a simple song
Nothing right or wrong
You can sing along if you want to
Well, I know it's not been easy
But easy ain't worth singin' about
Yeah, I know, I know
The time goes slow
But it's always running out
Here's a simple song
Won't stop the rain from coming down
Or your heart from breaking
Here's a simple song
It's never gonna turn this day around
Stood the earth from shaking
It's just a simple song
Nothing right or wrong
You can sing along if you want to
Well, I know it's far from simple
But simple ain't worth worryin' about
Yeah, I know, I know
It's time to go
I think I keep on finding
Everything seems to be about timing
Here's a simple song
Won't stop the rain from coming down
Or your heart from breaking
Just a simple song
Never gonna turn this day around
Stood the earth from shaking
It's just a simple song
Nothing right or wrong
You can sing along if you want to
Whoah, it's just a simple song
Nothing right or wrong
You can sing along if you want to
",Sad
Lewis Capaldi,Bruises,"Counting days, counting days
Since my love up and got lost on me
And every breath that I've been takin'
Since you left feels like a waste on me
I've been holding on to hope
That you'll come back when you can find some peace
'Cause every word that I've heard spoken
Since you left feels like an hollow street
I've been told, I've been told to get you off my mind
But I hope I never lose the bruises that you left behind
Oh my lord, oh my lord, I need you by my side
There must be something in the water
'Cause everyday it's getting colder
And if only I could hold you
You'd keep my head from going under
Maybe I, maybe I'm just being blinded
By the brighter side
Of what we had because it's over
Well there must be something in the tide
I've been told, I've been told to get you off my mind
But I hope I never lose the bruises that you left behind
Oh my lord, oh my lord, I need you by my side
There must be something in the water
'Cause everyday it's getting colder
And if only I could hold you
You'd keep my head from going under
It's your love I'm lost in
Your love I'm lost in
Your love I'm lost in
And I'm tired of being so exhausted
Your love I'm lost in
Your love I'm lost in
Your love I'm lost in
Even though I'm nothing to you now
Even though I'm nothing to you now
There must be something in the water
'Cause everyday it's getting colder
And if only I could hold you
You'd keep my head from going under
There must be something in the water
'Cause everyday it's getting colder
And if only I could hold you
You'd keep my head from going under",Sad
Billie Eilish,When the party's is over,"Don't you know I'm no good for you?
I've learned to lose you, can't afford to
Tore my shirt to stop you bleedin'
But nothin' ever stops you leavin'
Quiet when I'm comin' home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that
Don't you know too much already?
I'll only hurt you if you let me
Call me friend but keep me closer (call me back)
And I'll call you when the party's over
Quiet when I'm comin' home and I'm on my own
And I could lie, say I like it like that, like it like that
Yeah, I could lie, say I like it like that, like it like that
But nothin' is better sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go
Quiet when I'm comin' home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that",Sad
Billie Eilish,lovely (with Khalid),"Thought I found a way
Thought I found a way out (found)
But you never go away (never go away)
So I guess I gotta stay now
Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home
Walkin' out of time
Lookin' for a better place (lookin' for a better place)
Something's on my mind (mind)
Always in my head space
But I know some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home
Whoa, yeah
Yeah, ah
Whoa, whoa
Hello, welcome home",Sad
Kodaline,All I Want,"All I want is nothing more
To hear you knocking at my door
'Cause if I could see your face once more
I could die as a happy man I'm sure
When you said your last goodbye
I died a little bit inside
I lay in tears in bed all night
Alone without you by my side
But if you loved me
Why did you leave me
Take my body
Take my body
All I want is
All I need is
To find somebody
I'll find somebody
Ooh oh
Ooh oh
Ooh oh
Ooh oh
'Cause you brought out the best of me
A part of me I'd never seen
You took my soul wiped it clean
Our love was made for movie screens
But if you loved me
Why did you leave me
Take my body
Take my body
All I want is
All I need is
To find somebody
I'll find somebody
Ooh oh
Ooh oh
Ooh oh
Ooh oh
Ooh ah
Ooh oh
Ooh, if you loved me
Why did you leave me
Take my body
Take my body
All I want is
All I need is
To find somebody
I'll find somebody
Like you, ooh",Sad
Lana Del Rey,Video Games - Remastered,"Swinging in the backyard
Pull up in your fast car
Whistling my name
Open up a beer
And you say, ""Get over here
And play a video game""
I'm in his favourite sundress
Watchin' me get undressed
Take that body downtown
I say, ""You the bestest""
Lean in for a big kiss
Put his favourite perfume on
Go play your video game
It's you, it's you, it's all for you
Everything I do
I tell you all the time
Heaven is a place on earth with you
Tell me all the things you wanna do
I heard that you like the bad girls
Honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do
Singin' in the old bars
Swingin' with the old stars
Livin' for the fame
Kissin' in the blue dark
Playin' pool and wild darts
Video games
He holds me in his big arms
Drunk and I am seeing stars
This is all I think of
Watchin' all our friends fall
In and out of Old Paul's
This is my idea of fun
Playin' video games
It's you, it's you, it's all for you
Everything I do
I tell you all the time
Heaven is a place on earth with you
Tell me all the things you wanna do
I heard that you like the bad girls
Honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do
It's you, it's you, it's all for you
Everything I do
I tell you all the time
Heaven is a place on earth with you
Tell me all the things you wanna do
I heard that you like the bad girls
Honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do
Hmm, hmm, hmm
(Now you do)
(Now you do)
Now you do
(Now, now you do)
(Now you do)
(Now you do)",Sad
